University,OUAC Code,Program name,Top 6 Average
Brock,BAI,Concurrent BA Integrated Studies (Honours) BEd Junior/Intermediate,92
Brock,BAI,Concurrent BA (Honours) BEd Intermediate/Senior (English),92
Brock,BAJ,Concurrent BA/BEd-Jr/Int-Integrated Studies,90.83
Brock,BCH,BSc Honours: Biochemistry,97
Brock,BD,Child and Youth Studies,93
Brock,BDP,Concurrent BA Child & Youth Studies (Honours) BEd Primary/Junior,89.5
Brock,BG,BSc Honours: Computer Science,89
Brock,BG,BSc Honours: Computer Science,95
Brock,BG,BSc Honours: Computer Science,80
Brock,BGE,Geography,94.33
Brock,BH,BSc Honours: Mathematics & Statistics,83
Brock,BI,Bachelors of science,81.66
Brock,BII,Honours Concurrent BSc/BEd-Intermediate/Senior - Chemistry Major,95
Brock,BII,Concurrent BSc (Honours) BEd Intermediate/Senior (Mathematics),92.33
Brock,BIM,BSc Honours: Biomedical Sciences,89
Brock,BIM,BSc Honours: Biomedical Sciences,93
Brock,BIM,BSc Honours: Biomedical Sciences,88.25
Brock,BIN,BSc Honours: Neuroscience Co-op,94
Brock,BK,BAcc Honours: Accounting,93
Brock,BK,BAcc Honours: Accounting,86
Brock,BK,BAcc Honours: Accounting - Co-op,93
Brock,BK,BAcc Honours: Accounting,88.33
Brock,BK,BAcc Honours: Accounting,83.25
Brock,BK,BAcc Honours: Accounting - Co-op,89
Brock,BND,BBA Honours: Business Administration Co-op International Double Degree,88
Brock,BNS,BScN Honours: Nursing,94.66
Brock,BNS,BScN Honours: Nursing,94
Brock,BNS,BScN Honours: Nursing,93
Brock,BNS,BScN Honours: Nursing,91
Brock,BNS,BScN Honours: Nursing,95.67
Brock,BNS,BScN Honours: Nursing,90
Brock,BNS,BScN Honours: Nursing,94.8
Brock,BNS,BScN Honours: Nursing,91
Brock,BPE,Concurrent BA Integrated Studies (Honours) BEd Junior/Intermediate: Educational Studies,91
Brock,BPI,Concurrent Teacher Education - Intermediate/Senior,96.67
Brock,BPY,psychology BA,79
Brock,BSH,BSc Honours: Medical Sciences,89.5
Brock,BSM,Sport Management,90
Carleton,CBE,Economics Honours - Financial Economics,84.2
Carleton,CC,Commerce (Finance (co-op optional)),84
Carleton,CC,Bachelor of Commerce - Honours,94
Carleton,CC,Bachelor of Commerce Honours: Accounting,91
Carleton,CC,Commerce Business Analytics,84.2
Carleton,CC,Commerce,94
Carleton,CC,Commerce (Accounting (co-op optional)),87
Carleton,CEA,Engineering: Aerospace,97.8
Carleton,CEA,Engineering: Aerospace Co-Op,97
Carleton,CEA,Engineering: Aerospace Co-Op,97.8
Carleton,CEA,Engineering: Aerospace,91
Carleton,CEA,Engineering: Aerospace Co-Op,91
Carleton,CEA,Engineering: Aerospace Co-Op,91
Carleton,CEA,Engineering: Aerospace Co-Op,96
Carleton,CEA,Engineering: Aerospace,88.5
Carleton,CEA,Engineering: Aerospace Co-Op,89.33
Carleton,CEB,Engineering: Civil,90.25
Carleton,CEC,Computer Systems Engineering,96
Carleton,CEC,Computer Systems Engineering (Co-op),92.2
Carleton,CED,Engineering: Mechanical,89.5
Carleton,CED,Engineering: Mechanical,90
Carleton,CED,Engineering: Mechanical,92.17
Carleton,CED,Engineering: Mechanical,95
Carleton,CED,Engineering: Mechanical,91.83
Carleton,CEF,Electrical Engineering,98.67
Carleton,CEF,Engineering: Electrical (Co-op),92.2
Carleton,CEF,Electrical Engineering,90
Carleton,CEF,Engineering: Electrical (Co-op),89
Carleton,CEG,Engineering: Biomedical and Electrical,89.67
Carleton,CEG,"Biomedical and electrical engineering, coop",92.8
Carleton,CES,Engineering: Software,84.6
Carleton,CES,"Bachelor of Engineering: Software, Co-operative Education",88
Carleton,CES,Engineering: Software,97.5
Carleton,CES,Engineering: Software,93
Carleton,CES,Engineering: Software,81
Carleton,CES,Engineering: Software,90
Carleton,CEX,Engineering: Architectural Conservation and Sustainability,81.8
Carleton,CH,Arts Honours,94
Carleton,CH,Arts Honours,90.05
Carleton,CHS,Health Sciences Honours,86.33
Carleton,CK,Science Major - Biology,91
Carleton,CK,Science Major - Biology,90.67
Carleton,CMA,Bachelor of Mathematics Honours: Statistics: Actuarial Science Co-op,93
Carleton,CMA,Bachelor of Mathematics (co-op),96.5
Carleton,CN,Nursing,91
Carleton,COD,Computer Science Co-op - AI/ML Specialization,99.7
Carleton,COD,Computer Science Honours with co-op,99
Carleton,COD,Computer Science Honours (Cybersecurity (co-op optional)),98
Carleton,COD,Computer Science: AI and Machine Learning,97.5
Carleton,COD,Computer Science Honours (Artificial Intelligence and Machine Learning (co-op optional)),97
Carleton,COD,Computer Science Honours (CS/no-stream) + COOP,96.83
Carleton,COD,Computer Science Honours (Artificial Intelligence and Machine Learning (co-op optional)),95
Carleton,COD,Computer Science Honours with co-op,94
Carleton,COD,Computer Science Honours (Software Engineering - co-op),93.66
